property_id,application_id,appraised_value,valuation_date,valuation_method,avm_confidence_score,fema_flood_zone,census_tract,property_latitude,property_longitude
PROP202400080,APP202400080,91100,6/5/2024,avm,0.676,X,514621.03,43.144773,-90.983633
PROP202400081,APP202400081,249500,3/6/2024,full_appraisal,,X,241622.01,40.725714,-99.441495
PROP202400082,APP202400082,151400,5/27/2024,exterior_only,,X,437725.18,39.550494,-95.999503
PROP202400083,APP202400083,93800,7/4/2024,exterior_only,,X,947396.77,41.410431,-116.364759
PROP202400084,APP202400084,335300,5/9/2024,full_appraisal,,X,282685.44,32.741509,-121.177428
PROP202400085,APP202400085,127500,1/28/2024,full_appraisal,,X,447398.43,40.106759,-112.571891
PROP202400086,APP202400086,163200,11/2/2024,exterior_only,,X,225624.98,27.882428,-110.440693
PROP202400087,APP202400087,357100,6/16/2024,full_appraisal,,X,461492.82,47.592769,-91.461174
PROP202400088,APP202400088,80000,8/11/2024,full_appraisal,,X,425953.03,47.115119,-103.15493
PROP202400089,APP202400089,122700,1/16/2025,full_appraisal,,X,903852.24,43.992635,-123.583854
PROP202400090,APP202400090,147700,9/19/2024,avm,0.763,X,387976.76,38.237754,-90.500557
PROP202400091,APP202400091,145700,5/4/2024,full_appraisal,,X,899858.86,25.665013,-114.770038
PROP202400092,APP202400092,161400,8/9/2024,full_appraisal,,X,116607.49,46.604407,-100.164039
PROP202400093,APP202400093,180500,9/9/2024,avm,0.934,X,988859.27,25.4387,-79.165593
PROP202400094,APP202400094,80000,12/5/2024,desktop,,X,968103.05,26.158849,-83.595996
PROP202400095,APP202400095,181600,11/26/2024,desktop,,AE,693013.97,45.236834,-85.19233
PROP202400096,APP202400096,134500,1/30/2024,avm,0.912,X,752410.07,39.829033,-74.454172
PROP202400097,APP202400097,134100,7/14/2024,full_appraisal,,X,715011.92,32.363359,-117.840393
PROP202400098,APP202400098,199700,2/4/2024,full_appraisal,,VE,689550.49,47.703439,-81.315829
PROP202400099,APP202400099,158500,10/13/2024,full_appraisal,,X,972024.28,46.982862,-123.269187
PROP202400100,APP202400100,141200,1/3/2025,avm,0.714,X,531141.01,46.933827,-83.431965
PROP202400101,APP202400101,146800,4/4/2024,full_appraisal,,X,637117.51,33.592432,-85.817929
PROP202400102,APP202400102,144700,12/1/2024,full_appraisal,,X,711279.93,29.874105,-91.502716
PROP202400103,APP202400103,80000,2/18/2024,exterior_only,,X,133309.58,45.385934,-88.654728
PROP202400104,APP202400104,100300,2/29/2024,full_appraisal,,X,135488.69,37.97515,-95.118535
PROP202400105,APP202400105,192500,12/6/2024,full_appraisal,,X,341613.41,26.733147,-92.885392
PROP202400106,APP202400106,174200,3/3/2024,desktop,,AE,317541.31,42.12605,-104.561198
PROP202400107,APP202400107,145700,5/22/2024,full_appraisal,,X,281226.3,46.942225,-76.325326
PROP202400108,APP202400108,107700,3/5/2024,full_appraisal,,X,573099.14,48.22864,-104.070761
PROP202400109,APP202400109,146800,3/27/2024,avm,0.752,AE,473004.56,47.12271,-121.677175
PROP202400110,APP202400110,172300,1/26/2024,full_appraisal,,X,147227.47,27.242198,-121.343695
PROP202400111,APP202400111,142700,3/14/2024,full_appraisal,,X,604917.64,27.545443,-106.878484
PROP202400112,APP202400112,147100,6/29/2024,exterior_only,,X,652393.33,36.823254,-81.544438
PROP202400113,APP202400113,155600,6/3/2024,avm,0.707,X,607251.38,31.559872,-82.013094
PROP202400114,APP202400114,219800,5/26/2024,avm,0.649,AE,250695.75,33.703412,-95.327825
PROP202400115,APP202400115,129200,11/5/2024,desktop,,AE,752692.76,37.620051,-82.653355
PROP202400116,APP202400116,160600,1/14/2024,avm,0.849,X,702976.04,31.055334,-104.42836
PROP202400117,APP202400117,107700,9/23/2024,desktop,,X,278687.36,43.969759,-106.349191
PROP202400118,APP202400118,195100,2/15/2024,full_appraisal,,X,987253.83,31.840968,-96.29444
PROP202400119,APP202400119,172100,11/25/2024,avm,0.792,X,796095.69,36.806031,-108.118025
PROP202400120,APP202400120,84100,11/24/2024,full_appraisal,,AE,591865.22,32.204864,-68.833618
PROP202400121,APP202400121,264000,9/6/2024,avm,0.879,X,474420.04,35.847607,-113.114186
PROP202400122,APP202400122,174600,11/29/2024,avm,0.909,X,534875.63,30.820782,-105.999397
PROP202400123,APP202400123,208000,9/19/2024,full_appraisal,,X,699908.46,30.915484,-85.40955
PROP202400124,APP202400124,266600,12/20/2024,full_appraisal,,X,637288.44,35.896455,-73.541742
PROP202400125,APP202400125,96200,5/11/2024,exterior_only,,X,470411.68,39.877455,-85.296553
PROP202400126,APP202400126,176500,6/28/2024,exterior_only,,X,142907.21,36.677579,-104.556443
PROP202400127,APP202400127,496100,4/14/2024,exterior_only,,X,173065.18,42.367987,-110.475711
PROP202400128,APP202400128,151600,9/19/2024,full_appraisal,,X,583056.58,37.894407,-114.219704
PROP202400129,APP202400129,217500,1/3/2025,full_appraisal,,X,259030.08,38.957185,-69.012317
PROP202400130,APP202400130,172800,10/18/2024,full_appraisal,,X,639280.04,43.889718,-92.619414
PROP202400131,APP202400131,235000,1/19/2024,full_appraisal,,AE,471471.41,41.232753,-109.419098
PROP202400132,APP202400132,110600,9/19/2024,exterior_only,,X,134660.97,37.040667,-118.288961
PROP202400133,APP202400133,142900,1/14/2024,full_appraisal,,X,792617.7,37.499733,-107.783479
PROP202400134,APP202400134,94500,5/24/2024,full_appraisal,,AE,297426.19,36.069399,-115.716916
PROP202400135,APP202400135,119100,11/22/2024,full_appraisal,,X,877707.73,37.280634,-112.204462
PROP202400136,APP202400136,196700,4/17/2024,full_appraisal,,X,384046.28,38.170516,-84.292204
PROP202400137,APP202400137,190000,12/3/2024,full_appraisal,,AE,809840.78,41.170312,-111.309224
PROP202400138,APP202400138,302700,9/8/2024,full_appraisal,,X,636574.42,47.912989,-69.663019
PROP202400139,APP202400139,180300,12/12/2024,avm,0.811,X,451109.89,35.813819,-122.915811
PROP202400140,APP202400140,80000,8/11/2024,avm,0.818,AE,493313.94,33.704476,-91.520882
PROP202400141,APP202400141,179400,4/16/2024,full_appraisal,,X,564227.81,38.41526,-76.221163
PROP202400142,APP202400142,170200,11/30/2024,full_appraisal,,X,625134.35,43.299276,-96.398806
PROP202400143,APP202400143,80000,11/19/2024,full_appraisal,,VE,369016,25.313635,-109.487088
PROP202400144,APP202400144,265600,6/29/2024,avm,0.683,X,663205.47,25.33407,-92.543331
PROP202400145,APP202400145,149700,11/12/2024,exterior_only,,AE,301907.58,30.142247,-99.287328
PROP202400146,APP202400146,126700,10/7/2024,desktop,,X,656907.15,48.987947,-98.583263
PROP202400147,APP202400147,182100,2/19/2024,avm,0.97,X,639977.16,32.682171,-103.535167
PROP202400148,APP202400148,106800,5/30/2024,exterior_only,,AE,861932.41,44.469304,-93.625076
PROP202400149,APP202400149,142700,11/20/2024,full_appraisal,,X,243726.77,39.105183,-67.390138
PROP202400150,APP202400150,171900,2/25/2024,exterior_only,,X,225524.65,32.607578,-107.719183
PROP202400151,APP202400151,160000,11/1/2024,desktop,,AE,250947.23,32.018756,-83.011579
PROP202400152,APP202400152,202900,12/4/2024,full_appraisal,,X,198768.85,46.055743,-78.531789
PROP202400153,APP202400153,214700,9/29/2024,avm,0.867,X,240477.66,48.362928,-103.049822
PROP202400154,APP202400154,191100,8/6/2024,exterior_only,,X,981097.69,45.283827,-81.182723
PROP202400155,APP202400155,252000,12/22/2024,full_appraisal,,X,480115.77,43.255304,-123.852044
PROP202400156,APP202400156,353900,10/22/2024,avm,0.753,X,459053.04,39.9474,-82.015516
PROP202400157,APP202400157,204200,5/13/2024,desktop,,X,867572.63,36.975371,-103.701523
PROP202400158,APP202400158,153000,3/26/2024,full_appraisal,,X,882180.6,26.249315,-85.180159
PROP202400159,APP202400159,169500,12/30/2024,full_appraisal,,X,576356.13,31.335817,-116.690155
PROP202400160,APP202400160,113000,6/12/2024,desktop,,X,311954.24,25.565827,-116.496571
PROP202400161,APP202400161,127800,1/19/2025,avm,0.848,X,306136.22,43.510352,-78.850759
PROP202400162,APP202400162,208900,8/16/2024,full_appraisal,,X,675016.05,36.43095,-70.257049
PROP202400163,APP202400163,141700,7/24/2024,desktop,,X,830218.75,34.309376,-96.878046
PROP202400164,APP202400164,314300,7/22/2024,full_appraisal,,X,695186.65,36.587056,-122.952002
PROP202400165,APP202400165,335700,5/18/2024,desktop,,X,324984.88,34.522723,-95.980534
PROP202400166,APP202400166,136600,6/14/2024,avm,0.926,X,808252.61,33.659488,-94.633726
PROP202400167,APP202400167,241000,9/7/2024,full_appraisal,,X,675890.04,39.667027,-122.168703
PROP202400168,APP202400168,144700,2/23/2024,full_appraisal,,X,210974.68,48.871658,-94.736533
PROP202400169,APP202400169,221800,3/15/2024,full_appraisal,,X,524718.4,41.179234,-109.853439
PROP202400170,APP202400170,98700,12/3/2024,full_appraisal,,X,634086.67,30.857548,-86.955697
PROP202400171,APP202400171,224700,2/24/2024,full_appraisal,,X,544834.89,26.688355,-68.351163
PROP202400172,APP202400172,173200,3/14/2024,full_appraisal,,AE,904126.78,40.651806,-109.650201
PROP202400173,APP202400173,85000,12/25/2024,full_appraisal,,X,566157.39,43.737967,-89.298017
PROP202400174,APP202400174,160200,3/4/2024,exterior_only,,X,276419.7,26.609916,-93.976078
PROP202400175,APP202400175,167200,1/9/2024,avm,0.752,X,896109.26,37.122814,-107.614534
PROP202400176,APP202400176,103000,5/20/2024,full_appraisal,,X,872178.5,37.598873,-72.622302
PROP202400177,APP202400177,190300,5/10/2024,full_appraisal,,X,982648.36,29.62516,-106.066282
PROP202400178,APP202400178,212700,5/5/2024,avm,0.873,X,814288.89,33.908297,-98.276805
PROP202400179,APP202400179,197900,12/28/2024,full_appraisal,,X,685656.06,38.986182,-77.29368
PROP202400180,APP202400180,263700,10/11/2024,avm,0.859,AE,717089.5,32.719408,-82.34022
PROP202400181,APP202400181,108300,2/6/2024,desktop,,X,308841.53,48.410025,-83.95203
PROP202400182,APP202400182,217700,11/5/2024,full_appraisal,,X,523343.28,30.084704,-73.081367
PROP202400183,APP202400183,175700,12/17/2024,full_appraisal,,X,271475.13,25.55704,-76.721292
PROP202400184,APP202400184,165500,1/5/2025,desktop,,VE,307562.26,32.865309,-107.759453
PROP202400185,APP202400185,199100,7/23/2024,full_appraisal,,AE,678862.94,27.503468,-85.661861
PROP202400186,APP202400186,217700,3/24/2024,desktop,,AE,652577.35,46.900554,-118.713681
PROP202400187,APP202400187,176700,5/7/2024,full_appraisal,,X,101895.85,31.619149,-115.686091
PROP202400188,APP202400188,105300,3/11/2024,avm,0.918,AE,100029.94,43.164519,-75.892394
PROP202400189,APP202400189,107000,1/14/2024,full_appraisal,,X,987362.05,44.664441,-101.495936
PROP202400190,APP202400190,104500,3/29/2024,full_appraisal,,AE,372157.16,40.613931,-78.745259
PROP202400191,APP202400191,297700,12/2/2024,full_appraisal,,X,675468.24,48.329588,-115.552751
PROP202400192,APP202400192,150200,12/3/2024,avm,0.91,X,518706.7,29.247186,-92.014115
PROP202400193,APP202400193,93800,5/18/2024,avm,0.621,X,931395.2,46.166853,-67.678115
PROP202400194,APP202400194,124400,9/24/2024,exterior_only,,X,937328.27,48.664011,-112.472782
PROP202400195,APP202400195,173200,6/6/2024,avm,0.974,X,242936.79,28.155174,-121.868823
PROP202400196,APP202400196,88300,9/14/2024,full_appraisal,,X,644093.21,28.401875,-108.459124
PROP202400197,APP202400197,119100,9/5/2024,full_appraisal,,X,924180.04,46.593516,-97.202193
PROP202400198,APP202400198,186700,1/9/2024,desktop,,VE,852501.32,33.278575,-88.647711
PROP202400199,APP202400199,148500,4/28/2024,avm,0.717,X,749657.61,31.985603,-98.719906
PROP202400200,APP202400200,154000,8/26/2024,full_appraisal,,X,145148.11,36.176555,-119.457385
PROP202400201,APP202400201,234700,6/19/2024,full_appraisal,,X,770423.98,26.779519,-104.945332
PROP202400202,APP202400202,129800,9/18/2024,full_appraisal,,AE,555916.83,32.911593,-117.256183
PROP202400203,APP202400203,167700,3/9/2024,desktop,,X,576160.27,38.142793,-93.720997
PROP202400204,APP202400204,150700,3/15/2024,full_appraisal,,X,739323.49,37.453122,-102.867656
PROP202400205,APP202400205,208000,6/6/2024,full_appraisal,,X,678502.17,39.901725,-99.781066
PROP202400206,APP202400206,107000,11/29/2024,exterior_only,,X,598511.74,29.088492,-103.139208
PROP202400207,APP202400207,207300,7/26/2024,exterior_only,,X,466794.74,27.671953,-92.503722
PROP202400208,APP202400208,143300,7/6/2024,exterior_only,,X,224974.26,25.925208,-85.633219
PROP202400209,APP202400209,137300,10/21/2024,exterior_only,,AE,892795.69,28.062692,-119.80206
PROP202400210,APP202400210,112900,9/8/2024,full_appraisal,,X,885036.52,43.137272,-78.404052
PROP202400211,APP202400211,283700,10/25/2024,avm,0.816,X,965788.81,35.805115,-117.064509
PROP202400212,APP202400212,107900,1/19/2024,full_appraisal,,X,997711.07,46.053716,-79.372712
PROP202400213,APP202400213,186500,3/5/2024,full_appraisal,,X,659283.95,47.350682,-76.933677
PROP202400214,APP202400214,218700,7/19/2024,avm,0.641,X,782724.22,43.606519,-73.54091
PROP202400215,APP202400215,96600,11/11/2024,avm,0.856,X,474644.56,42.77207,-102.446275
PROP202400216,APP202400216,211000,11/13/2024,desktop,,X,354688.34,39.135684,-119.833343
PROP202400217,APP202400217,342700,5/22/2024,full_appraisal,,X,545058.68,31.985683,-83.127485
PROP202400218,APP202400218,103300,2/5/2024,full_appraisal,,X,394186.59,40.966536,-71.577265
PROP202400219,APP202400219,175900,9/14/2024,desktop,,X,383375.59,33.477367,-95.692191
PROP202400220,APP202400220,87500,8/15/2024,exterior_only,,X,115879.27,28.478423,-95.511777
PROP202400221,APP202400221,86400,3/20/2024,exterior_only,,X,156635.28,38.180752,-70.512897
PROP202400222,APP202400222,227300,2/9/2024,full_appraisal,,X,243532.48,26.896445,-121.846013
PROP202400223,APP202400223,337000,5/24/2024,exterior_only,,X,157047.27,46.111447,-115.901512
PROP202400224,APP202400224,127100,10/15/2024,exterior_only,,X,297784.17,33.709144,-74.762265
PROP202400225,APP202400225,151900,12/19/2024,exterior_only,,X,868813.28,29.416895,-98.925323
PROP202400226,APP202400226,135700,7/31/2024,full_appraisal,,X,847474.79,25.804533,-73.70126
PROP202400227,APP202400227,91700,3/21/2024,full_appraisal,,X,370120.43,30.670282,-110.471604
PROP202400228,APP202400228,165000,3/15/2024,full_appraisal,,X,990180.25,32.317369,-117.754527
PROP202400229,APP202400229,91700,3/15/2024,desktop,,X,395131.05,47.441866,-72.414768
PROP202400230,APP202400230,273200,1/10/2025,exterior_only,,X,102572.8,26.472057,-108.02405
PROP202400231,APP202400231,266800,9/27/2024,exterior_only,,X,311460.28,46.751778,-106.101198
PROP202400232,APP202400232,84800,12/16/2024,full_appraisal,,X,885727.7,47.651154,-73.295818
PROP202400233,APP202400233,80500,6/3/2024,avm,0.911,X,441596.1,25.477753,-99.591925
PROP202400234,APP202400234,213800,2/28/2024,full_appraisal,,X,520631.33,28.607061,-84.555352
PROP202400235,APP202400235,182700,3/11/2024,exterior_only,,X,310621.77,41.369807,-92.395907
PROP202400236,APP202400236,137000,8/23/2024,exterior_only,,AE,732961.65,45.003134,-79.612284
PROP202400237,APP202400237,214900,7/7/2024,full_appraisal,,X,173946.66,46.44441,-88.629409
PROP202400238,APP202400238,158400,11/10/2024,full_appraisal,,X,900148.48,48.524906,-103.065098
PROP202400239,APP202400239,89300,7/27/2024,avm,0.673,X,157262.01,31.103476,-93.976058
PROP202400240,APP202400240,140800,12/15/2024,avm,0.685,X,910195.57,46.770065,-75.466151
PROP202400241,APP202400241,106800,9/8/2024,full_appraisal,,X,449438.08,41.866226,-117.691818
PROP202400242,APP202400242,180100,12/12/2024,full_appraisal,,X,295117.83,33.275805,-84.025936
PROP202400243,APP202400243,147000,12/14/2024,desktop,,X,706500.75,36.747715,-103.892465
PROP202400244,APP202400244,129900,3/14/2024,full_appraisal,,X,665661.7,25.753101,-77.057399
PROP202400245,APP202400245,166600,4/9/2024,full_appraisal,,X,167820.51,40.728111,-82.586121
PROP202400246,APP202400246,111500,1/20/2024,full_appraisal,,X,643864.9,43.726783,-115.00775
PROP202400247,APP202400247,148200,9/9/2024,exterior_only,,X,849711.95,43.810779,-94.904065
PROP202400248,APP202400248,260400,10/6/2024,avm,0.872,AE,556463.47,46.456992,-99.139486
PROP202400249,APP202400249,116900,12/8/2024,desktop,,X,878732.36,41.185989,-88.534761
PROP202400250,APP202400250,181000,12/9/2024,exterior_only,,X,701933.74,42.3098,-99.866123
PROP202400251,APP202400251,80000,5/13/2024,full_appraisal,,X,496501.68,32.008075,-72.142844
PROP202400252,APP202400252,143700,4/23/2024,full_appraisal,,AE,192747.89,39.310709,-101.716183
PROP202400253,APP202400253,330700,6/9/2024,avm,0.793,X,801588.78,45.684729,-84.931358
PROP202400254,APP202400254,133000,7/29/2024,exterior_only,,AE,795743.95,32.604463,-83.300847
PROP202400255,APP202400255,228100,12/3/2024,full_appraisal,,X,163777.55,42.92317,-87.779612
PROP202400256,APP202400256,214500,8/25/2024,full_appraisal,,X,548563.17,29.509665,-74.079175
PROP202400257,APP202400257,211800,12/13/2024,full_appraisal,,X,547361.7,40.216186,-97.630417
PROP202400258,APP202400258,418100,9/6/2024,exterior_only,,X,375739.48,39.228621,-110.553713
PROP202400259,APP202400259,91800,5/19/2024,desktop,,X,647672.59,26.880294,-67.411121
PROP202400260,APP202400260,135500,8/19/2024,exterior_only,,AE,328444.14,36.300997,-85.033195
PROP202400261,APP202400261,113900,5/15/2024,exterior_only,,AO,979026.43,33.961202,-97.904472
PROP202400262,APP202400262,104300,7/27/2024,full_appraisal,,X,123045.64,26.598711,-99.613217
PROP202400263,APP202400263,268700,6/16/2024,full_appraisal,,AE,946518.82,28.389149,-80.208376
PROP202400264,APP202400264,115600,11/29/2024,avm,0.924,AE,610822.47,36.137272,-94.982544
PROP202400265,APP202400265,140200,2/9/2024,avm,0.639,X,690612.49,29.654008,-102.581571
PROP202400266,APP202400266,190000,6/8/2024,exterior_only,,X,611547.48,32.10886,-93.700908
PROP202400267,APP202400267,138200,1/24/2024,full_appraisal,,AE,753477.24,46.177128,-84.057533
PROP202400268,APP202400268,129000,8/11/2024,full_appraisal,,X,145070.01,29.540083,-121.387317
PROP202400269,APP202400269,141100,6/27/2024,exterior_only,,X,545086.75,42.566396,-87.839097
PROP202400270,APP202400270,127400,11/10/2024,full_appraisal,,X,469619.57,31.368969,-102.454656
PROP202400271,APP202400271,80000,1/13/2025,full_appraisal,,X,825024.89,38.575253,-106.052085
PROP202400272,APP202400272,117500,11/11/2024,avm,0.841,X,325879.32,25.423436,-98.218729
PROP202400273,APP202400273,141200,5/8/2024,full_appraisal,,AE,907707.18,30.497524,-83.884678
PROP202400274,APP202400274,314900,4/9/2024,full_appraisal,,AE,459581.93,34.891225,-117.325825
PROP202400275,APP202400275,184200,9/7/2024,exterior_only,,X,709800.47,30.03509,-108.744563
PROP202400276,APP202400276,249000,4/8/2024,desktop,,X,535995.49,46.211729,-113.4073
PROP202400277,APP202400277,223000,9/17/2024,full_appraisal,,X,160627.24,29.404623,-108.248374
PROP202400278,APP202400278,184800,3/28/2024,full_appraisal,,X,745494.45,41.909722,-77.403765
PROP202400279,APP202400279,179000,8/13/2024,full_appraisal,,AE,225054.58,47.859155,-112.419842
PROP202400280,APP202400280,182800,6/2/2024,full_appraisal,,X,993866.43,26.420391,-112.234799
PROP202400281,APP202400281,195600,9/28/2024,full_appraisal,,X,644035.85,28.641744,-67.618604
PROP202400282,APP202400282,179000,6/23/2024,desktop,,X,560127.29,33.480061,-107.423333
PROP202400283,APP202400283,235800,8/8/2024,avm,0.806,X,694569.64,41.135985,-74.735167
PROP202400284,APP202400284,103800,8/1/2024,full_appraisal,,X,793331.98,25.177508,-72.461623
PROP202400285,APP202400285,167400,3/15/2024,desktop,,X,365011.96,28.378223,-107.559662
PROP202400286,APP202400286,139800,2/6/2024,desktop,,X,388163.56,31.961923,-108.408449
