application_id,customer_id,property_id,application_date,decision_date,loan_purpose,occupancy_type,property_type,property_state,property_zip,loan_amount,loan_term_months,interest_rate_percent,rate_type,dti_percent,ltv_percent,income_annual,co_applicant,channel,applicant_age_bucket,applicant_sex,applicant_ethnicity,applicant_race,decision,hmda_action_taken
APP202400017,16610,PROP202400017,3/17/2024,3/27/2024,refinance,primary,single_family,MN,41129,164100,360,5.916,fixed,26.8,76.33,131500,0,broker,25-34,female,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400018,10421,PROP202400018,3/28/2024,4/25/2024,cash_out,primary,single_family,DC,99761,88400,360,6.546,fixed,21.5,73.71,107000,1,broker,25-34,female,not_hispanic_or_latino,white,denied,3_DENIED
APP202400019,10232,PROP202400019,10/30/2024,11/11/2024,home_improvement,primary,single_family,IL,40361,77700,360,6.179,fixed,44.8,73.6,77600,0,broker,55-64,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400020,10436,PROP202400020,6/8/2024,7/2/2024,purchase,secondary,single_family,WA,49867,180400,240,5.133,fixed,17.3,72.56,71000,0,retail,25-34,female,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400021,15657,PROP202400021,1/28/2024,2/12/2024,refinance,primary,single_family,KY,71403,79900,360,4,fixed,53.5,66.71,151600,0,online,25-34,male,hispanic_or_latino,white,denied,3_DENIED
APP202400022,17694,PROP202400022,10/16/2024,11/3/2024,purchase,primary,single_family,WY,23051,262400,360,7.209,fixed,26.7,94.99,151100,0,retail,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400023,15118,PROP202400023,10/31/2024,11/25/2024,cash_out,secondary,condo,LA,17162,123700,180,5.719,fixed,27.2,92.37,110500,0,broker,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400024,19490,PROP202400024,12/13/2024,1/2/2025,purchase,primary,condo,IN,18635,175400,360,5.426,fixed,33.7,83.8,62600,1,retail,75+,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400025,17018,PROP202400025,11/21/2024,12/7/2024,home_improvement,investment,single_family,ND,93466,79300,180,4.636,fixed,35.2,73.09,102200,0,broker,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400026,11447,PROP202400026,1/8/2024,1/16/2024,purchase,primary,single_family,HI,60278,135000,120,6.68,fixed,36.3,78.48,58100,1,broker,18-24,female,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400027,19238,PROP202400027,9/6/2024,9/22/2024,purchase,investment,single_family,AK,16578,180200,360,7.298,fixed,36.8,89.4,111300,0,broker,18-24,male,not_hispanic_or_latino,white,incomplete,5_FILE_CLOSED_FOR_INCOMPLETENESS
APP202400028,11143,PROP202400028,11/30/2024,12/24/2024,purchase,primary,condo,TN,94457,51800,360,4,fixed,27.2,47.83,85600,1,retail,55-64,male,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400029,16677,PROP202400029,1/12/2024,2/10/2024,purchase,primary,single_family,IN,94911,111000,360,4.896,fixed,33.3,79.46,264200,0,retail,55-64,male,not_hispanic_or_latino,american_indian_or_alaska_native,approved,1_ORIGINATED
APP202400030,10195,PROP202400030,9/17/2024,10/13/2024,purchase,primary,single_family,VA,41037,92000,360,7.054,fixed,46.7,89.91,120500,0,retail,35-44,female,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400031,13424,PROP202400031,7/22/2024,8/7/2024,cash_out,primary,single_family,ND,45060,153700,360,5.692,arm,39.4,94.17,112500,0,retail,35-44,male,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400032,12802,PROP202400032,9/18/2024,9/29/2024,refinance,secondary,manufactured,ME,19337,95300,240,6.081,fixed,17.5,78.68,75100,0,retail,25-34,male,not_provided,black_or_african_american,approved,1_ORIGINATED
APP202400033,11955,PROP202400033,9/10/2024,9/25/2024,purchase,primary,single_family,LA,25313,118600,180,4,fixed,20.8,49.94,110100,0,broker,35-44,male,not_provided,not_provided,approved,1_ORIGINATED
APP202400034,16703,PROP202400034,9/2/2024,10/4/2024,purchase,primary,single_family,NE,38716,127200,360,4.502,fixed,43.2,77.08,113000,0,retail,45-54,female,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400035,14536,PROP202400035,2/15/2024,2/25/2024,refinance,investment,manufactured,RI,29387,89100,120,6.09,arm,28.2,97,76600,0,broker,45-54,female,not_hispanic_or_latino,white,denied,3_DENIED
APP202400036,10390,PROP202400036,2/26/2024,3/23/2024,purchase,primary,single_family,ID,51598,222700,360,8.027,arm,25.9,94.76,53900,0,broker,35-44,not_provided,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400037,19838,PROP202400037,1/25/2024,2/10/2024,purchase,primary,single_family,ME,97857,94800,360,4.201,arm,10,56.49,137200,1,retail,55-64,male,not_provided,white,approved,1_ORIGINATED
APP202400038,13363,PROP202400038,5/22/2024,5/31/2024,refinance,primary,single_family,IL,16632,66000,180,5.346,fixed,39.7,82.46,53800,0,retail,65-74,male,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400039,16812,PROP202400039,9/16/2024,10/8/2024,purchase,primary,condo,MS,76514,102200,360,4.459,fixed,30.6,65.99,140200,0,broker,65-74,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400040,18915,PROP202400040,9/14/2024,9/30/2024,refinance,primary,condo,OK,50500,135600,360,5.181,fixed,21.1,78.02,153300,0,retail,45-54,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400041,19916,PROP202400041,12/27/2024,1/15/2025,refinance,primary,multi_family,RI,85204,83400,180,5.933,fixed,44.3,92.75,200200,0,retail,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400042,12795,PROP202400042,2/9/2024,3/11/2024,refinance,primary,single_family,SD,71361,184300,360,5.321,fixed,34.6,80.97,63400,0,retail,25-34,male,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400043,16944,PROP202400043,9/20/2024,10/5/2024,refinance,primary,single_family,MT,97388,115100,360,5.985,fixed,15.7,75.4,98400,0,broker,55-64,male,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400044,11970,PROP202400044,12/13/2024,1/10/2025,refinance,primary,single_family,NJ,54783,145200,360,7.787,fixed,34.5,95.24,128000,1,broker,18-24,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400045,12166,PROP202400045,2/29/2024,3/8/2024,purchase,primary,single_family,MI,26743,167100,240,5.602,arm,34.9,72.5,164500,0,broker,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400046,10564,PROP202400046,10/20/2024,11/9/2024,purchase,primary,single_family,WA,36161,158200,360,6.055,fixed,44.8,77.36,146000,1,retail,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400047,19868,PROP202400047,8/21/2024,8/30/2024,purchase,primary,single_family,CO,71889,129000,360,8.634,fixed,36.9,88.29,78900,1,retail,25-34,male,not_provided,white,denied,3_DENIED
APP202400048,18058,PROP202400048,7/18/2024,7/31/2024,cash_out,primary,single_family,VT,85850,96000,360,6.31,fixed,25.2,75.09,50300,0,broker,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400049,10244,PROP202400049,7/29/2024,8/5/2024,refinance,primary,condo,IA,85349,133800,180,5.153,fixed,29.6,62.19,73900,0,retail,75+,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400050,16954,PROP202400050,10/27/2024,11/8/2024,home_improvement,primary,single_family,UT,50116,102200,240,6.09,arm,19.7,73.38,174000,0,retail,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400051,19222,PROP202400051,8/23/2024,9/6/2024,home_improvement,secondary,single_family,MI,77883,118400,360,6.047,fixed,56.4,76.48,46000,1,retail,35-44,female,not_provided,white,incomplete,5_FILE_CLOSED_FOR_INCOMPLETENESS
APP202400052,12434,PROP202400052,4/19/2024,5/6/2024,purchase,primary,single_family,AR,35721,122700,240,5.763,fixed,25.9,72.23,178500,0,broker,75+,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400053,13671,PROP202400053,11/11/2024,12/14/2024,purchase,primary,single_family,MI,22085,103600,360,4.684,fixed,46.3,84.06,51000,1,broker,45-54,female,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400054,16374,PROP202400054,1/24/2024,2/3/2024,purchase,primary,single_family,AZ,21654,97300,180,5.662,fixed,10.8,79.55,61500,0,broker,75+,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400055,16131,PROP202400055,12/17/2024,12/30/2024,purchase,investment,condo,MD,41362,207500,360,4,fixed,17.2,60.22,74900,0,retail,18-24,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400056,13657,PROP202400056,1/4/2024,1/11/2024,purchase,primary,single_family,MS,19010,246700,240,7.243,fixed,37.3,97,103800,1,retail,18-24,female,hispanic_or_latino,white,denied,3_DENIED
APP202400057,15261,PROP202400057,6/25/2024,7/18/2024,purchase,secondary,manufactured,NV,23634,112900,240,6.912,fixed,19.5,72.46,39700,0,retail,65-74,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400058,13224,PROP202400058,12/24/2024,1/4/2025,refinance,primary,condo,SD,80613,104800,240,6.203,fixed,33.1,76.99,96400,0,broker,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400059,16427,PROP202400059,2/20/2024,3/5/2024,purchase,primary,single_family,GA,61897,149600,360,7.28,arm,37.3,84.85,61000,0,broker,65-74,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400060,19337,PROP202400060,6/9/2024,7/4/2024,home_improvement,primary,single_family,MO,25493,51300,360,4,arm,40.1,46.69,120400,0,retail,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400061,19733,PROP202400061,9/21/2024,10/4/2024,refinance,secondary,condo,SC,65499,159700,360,7.016,fixed,38.5,80.8,104400,0,online,55-64,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400062,11728,PROP202400062,2/16/2024,2/17/2024,purchase,secondary,multi_family,MI,31963,123300,360,5.668,fixed,23.7,75.25,96600,0,retail,75+,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400063,10721,PROP202400063,8/28/2024,9/13/2024,refinance,primary,single_family,GA,19044,226800,360,7.697,fixed,13.5,97,191900,0,retail,45-54,female,not_provided,white,denied,3_DENIED
APP202400064,13065,PROP202400064,9/22/2024,10/19/2024,home_improvement,primary,single_family,SC,94055,91200,360,4,fixed,23.2,70.76,42400,0,online,55-64,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400065,17962,PROP202400065,8/1/2024,8/18/2024,cash_out,primary,single_family,ME,73285,105100,180,4.828,fixed,33,72.97,99400,0,retail,35-44,female,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400066,14216,PROP202400066,5/14/2024,5/18/2024,refinance,primary,single_family,IN,97189,87600,240,8.303,fixed,47,91.95,159900,0,retail,55-64,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400067,11333,PROP202400067,3/15/2024,4/3/2024,purchase,primary,single_family,SC,14079,267600,360,7.317,arm,27.7,97,116900,0,retail,65-74,male,not_provided,white,denied,3_DENIED
APP202400068,11819,PROP202400068,9/17/2024,10/13/2024,refinance,primary,single_family,MD,63584,101700,360,5.763,fixed,38.6,97,134500,0,retail,75+,female,not_hispanic_or_latino,white,denied,3_DENIED
APP202400069,19058,PROP202400069,9/6/2024,9/26/2024,purchase,primary,condo,MA,99638,56100,180,4.246,fixed,38.2,70.18,267600,1,online,25-34,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400070,17590,PROP202400070,2/27/2024,3/19/2024,purchase,primary,single_family,DC,99272,65300,360,6.823,fixed,34.7,78.99,61000,0,online,25-34,male,not_hispanic_or_latino,two_or_more,approved,1_ORIGINATED
APP202400071,19578,PROP202400071,4/22/2024,5/22/2024,cash_out,primary,multi_family,SC,33416,77500,240,5.873,fixed,43.2,74,35000,0,online,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400072,14456,PROP202400072,12/5/2024,1/5/2025,home_improvement,secondary,single_family,HI,80242,77700,180,7.123,fixed,29.5,97,70900,0,retail,45-54,male,hispanic_or_latino,white,denied,3_DENIED
APP202400073,17408,PROP202400073,6/8/2024,6/28/2024,refinance,primary,single_family,MT,42523,131000,180,5.214,fixed,54.1,70.68,55300,0,retail,45-54,male,not_hispanic_or_latino,not_provided,denied,3_DENIED
APP202400074,12027,PROP202400074,5/3/2024,5/26/2024,purchase,primary,single_family,LA,58728,90400,360,4.624,fixed,24.6,80.72,128400,0,retail,45-54,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400075,17969,PROP202400075,5/20/2024,5/26/2024,refinance,primary,single_family,IA,81175,179400,120,6.215,fixed,37.3,78.88,40700,0,online,45-54,male,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400076,11433,PROP202400076,11/20/2024,12/1/2024,purchase,primary,single_family,FL,77041,188100,180,6.616,fixed,33.4,83.27,94700,0,retail,18-24,female,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400077,14725,PROP202400077,5/12/2024,5/30/2024,purchase,primary,multi_family,TX,52154,160000,360,4,fixed,29,64.25,123900,0,online,25-34,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400078,17688,PROP202400078,1/10/2024,1/20/2024,cash_out,primary,single_family,NV,42467,88400,180,4.885,fixed,57.1,66.93,149900,0,online,75+,not_provided,not_hispanic_or_latino,asian,denied,3_DENIED
APP202400079,13269,PROP202400079,1/11/2024,2/3/2024,refinance,primary,single_family,IA,74848,210400,360,7.126,fixed,36.5,88.09,48600,1,retail,45-54,female,not_hispanic_or_latino,not_provided,approved,1_ORIGINATED
APP202400080,18004,PROP202400080,5/12/2024,5/22/2024,purchase,primary,single_family,MA,93878,67400,240,6.625,fixed,33.3,74.07,118500,0,retail,35-44,male,hispanic_or_latino,native_hawaiian_or_pacific_islander,denied,3_DENIED
APP202400081,13967,PROP202400081,2/18/2024,3/25/2024,refinance,secondary,single_family,NM,10793,164100,360,4.305,arm,31.7,65.78,243400,0,retail,55-64,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400082,19086,PROP202400082,5/25/2024,6/7/2024,refinance,investment,single_family,MT,48511,103800,240,4.107,fixed,25.4,68.57,164500,0,retail,18-24,female,hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400083,16542,PROP202400083,6/13/2024,6/29/2024,purchase,secondary,single_family,NH,85237,61400,120,4,fixed,40.9,65.39,168400,0,retail,55-64,male,not_provided,asian,approved,1_ORIGINATED
APP202400084,16553,PROP202400084,5/5/2024,5/30/2024,purchase,primary,single_family,IL,27820,303300,240,5.784,fixed,45.3,90.44,138700,0,retail,35-44,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400085,18696,PROP202400085,1/13/2024,2/1/2024,purchase,secondary,condo,ME,16814,104000,180,5.832,fixed,24.5,81.6,76300,0,retail,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400086,19131,PROP202400086,10/28/2024,11/13/2024,purchase,primary,single_family,MT,91748,108700,240,4,fixed,24.5,66.6,194700,0,retail,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400087,19454,PROP202400087,6/1/2024,6/19/2024,purchase,primary,single_family,SD,42667,301600,360,5.565,fixed,30,84.45,292400,0,retail,18-24,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400088,12733,PROP202400088,7/26/2024,8/4/2024,home_improvement,primary,single_family,ND,83303,57800,360,5.998,arm,20.7,72.25,176300,0,retail,35-44,not_provided,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400089,14024,PROP202400089,12/24/2024,1/4/2025,purchase,investment,single_family,MS,28070,79600,180,5.02,fixed,34.5,64.86,160000,0,retail,65-74,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400090,16263,PROP202400090,8/21/2024,8/31/2024,cash_out,primary,single_family,UT,95761,105800,240,4,fixed,19.9,71.63,158500,0,retail,25-34,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400091,12658,PROP202400091,4/5/2024,5/5/2024,purchase,primary,single_family,SD,10449,136100,180,7.875,fixed,21,93.45,109900,1,retail,65-74,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400092,14338,PROP202400092,7/25/2024,8/6/2024,home_improvement,primary,multi_family,AZ,89978,114100,360,5.322,fixed,37,70.7,65800,0,online,55-64,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400093,13807,PROP202400093,9/5/2024,9/17/2024,cash_out,primary,single_family,CT,54994,167900,240,5.311,fixed,38.4,93.02,60100,0,retail,65-74,not_provided,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400094,19065,PROP202400094,12/5/2024,1/1/2025,purchase,secondary,single_family,KS,62261,77200,360,7.726,fixed,26.7,96.46,120500,1,retail,45-54,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400095,11958,PROP202400095,11/8/2024,12/9/2024,purchase,primary,single_family,NM,42984,147900,360,6.642,arm,27.8,81.45,117900,0,broker,45-54,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400096,16252,PROP202400096,1/24/2024,2/17/2024,cash_out,primary,single_family,OR,86320,114600,360,5.581,fixed,12.4,85.25,150400,0,retail,45-54,male,not_hispanic_or_latino,two_or_more,approved,1_ORIGINATED
APP202400097,13384,PROP202400097,6/30/2024,7/23/2024,purchase,primary,single_family,KY,94189,106500,240,6.905,fixed,23.9,79.41,40900,0,broker,45-54,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400098,11517,PROP202400098,1/16/2024,1/27/2024,purchase,secondary,single_family,DC,61767,135100,360,4.884,fixed,48.7,67.67,61400,0,retail,75+,male,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400099,14340,PROP202400099,9/27/2024,10/7/2024,home_improvement,investment,condo,GA,62877,127300,240,6.424,fixed,25.2,80.35,136600,1,retail,45-54,male,not_hispanic_or_latino,not_provided,approved,1_ORIGINATED
APP202400100,16496,PROP202400100,12/20/2024,1/9/2025,refinance,primary,single_family,NE,87257,104100,180,6.64,fixed,37.3,73.72,87600,1,retail,65-74,male,not_hispanic_or_latino,white,denied,3_DENIED
APP202400101,18996,PROP202400101,3/31/2024,4/20/2024,purchase,primary,single_family,AZ,59057,105200,240,5.592,fixed,49.2,71.69,91800,0,retail,65-74,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400102,15664,PROP202400102,11/5/2024,11/18/2024,home_improvement,primary,condo,MD,62955,91600,360,5.625,arm,39.9,63.31,80300,0,retail,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400103,14630,PROP202400103,1/27/2024,2/22/2024,cash_out,investment,multi_family,MA,25909,63700,240,4.371,fixed,34.2,79.58,95700,0,retail,18-24,male,not_hispanic_or_latino,not_provided,approved,1_ORIGINATED
APP202400104,13453,PROP202400104,2/11/2024,2/27/2024,purchase,primary,condo,TX,79320,70300,360,4.37,fixed,24.7,70.05,59100,1,retail,65-74,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400105,19398,PROP202400105,11/9/2024,11/30/2024,purchase,primary,condo,HI,29715,136800,180,4.787,fixed,25.4,71.05,123200,0,retail,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400106,12446,PROP202400106,3/3/2024,4/3/2024,purchase,primary,single_family,VT,15838,152300,180,7.314,arm,10,87.44,97900,1,retail,18-24,female,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400107,18349,PROP202400107,5/7/2024,5/17/2024,purchase,primary,single_family,NY,26005,122300,180,6.488,fixed,31.8,83.92,128000,0,retail,18-24,female,not_provided,white,approved,1_ORIGINATED
APP202400108,19288,PROP202400108,2/17/2024,3/3/2024,purchase,primary,single_family,MS,86966,90500,240,4.9,fixed,26.7,84.09,79300,1,broker,65-74,male,not_provided,asian,approved,1_ORIGINATED
APP202400109,18831,PROP202400109,3/5/2024,3/23/2024,cash_out,primary,condo,OK,47696,116800,360,4.78,fixed,53.4,79.53,119400,0,retail,55-64,male,not_hispanic_or_latino,asian,denied,3_DENIED
APP202400110,11871,PROP202400110,1/20/2024,1/23/2024,purchase,primary,single_family,VA,72727,147800,240,6.817,fixed,33.2,85.76,83500,0,retail,45-54,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400111,17632,PROP202400111,2/17/2024,3/7/2024,cash_out,primary,condo,AZ,96646,129900,180,7.784,fixed,34,91.01,60900,0,online,35-44,female,not_hispanic_or_latino,white,denied,3_DENIED
APP202400112,11852,PROP202400112,6/3/2024,7/2/2024,purchase,primary,single_family,WA,83700,142700,360,8.497,fixed,30.3,97,142500,0,retail,25-34,female,hispanic_or_latino,white,denied,3_DENIED
APP202400113,15445,PROP202400113,5/17/2024,6/10/2024,refinance,primary,condo,AR,62716,120800,360,6.429,arm,41.1,77.65,177900,0,retail,35-44,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400114,11194,PROP202400114,5/5/2024,5/21/2024,home_improvement,primary,condo,WA,34593,134200,180,5.273,fixed,29.8,61.04,82100,0,retail,25-34,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400115,14660,PROP202400115,11/4/2024,12/7/2024,purchase,primary,single_family,NE,30580,107300,240,6.558,fixed,19.8,83.02,137400,0,broker,25-34,female,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400116,16068,PROP202400116,1/12/2024,1/13/2024,home_improvement,investment,multi_family,HI,10366,155800,240,8.297,fixed,22.8,97,116100,0,retail,55-64,female,not_hispanic_or_latino,asian,denied,3_DENIED
APP202400117,13735,PROP202400117,8/26/2024,8/27/2024,purchase,primary,single_family,VA,80015,65100,360,4.283,fixed,26,60.42,134600,1,online,75+,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400118,12438,PROP202400118,1/27/2024,2/22/2024,purchase,primary,single_family,KS,51920,182300,360,6.593,fixed,48.1,93.43,35000,0,retail,18-24,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400119,17179,PROP202400119,10/31/2024,11/28/2024,home_improvement,primary,single_family,GA,92017,137100,360,4.976,fixed,23.2,79.65,62100,0,broker,35-44,male,not_hispanic_or_latino,black_or_african_american,approved,1_ORIGINATED
APP202400120,18045,PROP202400120,11/10/2024,12/3/2024,refinance,secondary,condo,ID,74569,63400,360,5.606,fixed,42.2,75.32,73000,0,retail,25-34,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400121,19038,PROP202400121,8/9/2024,9/7/2024,refinance,secondary,single_family,TN,46606,194300,180,4.565,fixed,18.7,73.59,147800,1,broker,25-34,male,hispanic_or_latino,white,approved,1_ORIGINATED
APP202400122,18857,PROP202400122,11/5/2024,11/28/2024,refinance,primary,single_family,ME,72275,161400,360,7.072,fixed,38.5,92.45,77400,0,retail,25-34,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
APP202400123,19312,PROP202400123,9/8/2024,10/4/2024,home_improvement,primary,single_family,AR,61647,191700,360,5.251,fixed,19.7,92.16,105300,0,broker,18-24,female,not_hispanic_or_latino,not_provided,approved,1_ORIGINATED
APP202400124,14974,PROP202400124,11/21/2024,12/3/2024,purchase,primary,condo,AZ,43505,220300,240,5.105,fixed,15.7,82.64,284000,0,online,65-74,male,not_hispanic_or_latino,asian,approved,1_ORIGINATED
APP202400125,15079,PROP202400125,4/25/2024,4/30/2024,purchase,primary,condo,OR,47986,74100,120,5.139,fixed,20.9,77.04,97600,0,retail,18-24,male,not_hispanic_or_latino,white,approved,1_ORIGINATED
